id;group;subgroup;germanName;latinName;habitat;distribution;rarity
vogel_haselhuhn;Vögel;Fasanverwandte;Haselhuhn;Tetrastes bonasia;Wald;Alpen, Bayrischer Wald, Sueddeutschland;
vogel_auerhuhn;Vögel;Fasanverwandte;Aürhuhn;Tetrao urogallus;;;
vogel_birkhuhn;Vögel;Fasanverwandte;Birkhuhn;Lyrurus tetrix;;;
vogel_alpenschneehuhn;Vögel;Fasanverwandte;Alpenschneehuhn;Lagopus muta;;;
vogel_steinhuhn;Vögel;Fasanverwandte;Steinhuhn;Alectoris graeca;;;
vogel_rebhuhn;Vögel;Fasanverwandte;Rebhuhn;Perdix perdix;;;
vogel_wachtel;Vögel;Fasanverwandte;Wachtel;Coturnix coturnix;;;
vogel_jagdfasan;Vögel;Fasanverwandte;Jagdfasan;Phasianus colchicus;;;
vogel_ringelgans;Vögel;Entenverwandte;Ringelgans;Branta bernicla;;;
vogel_rothalsgans;Vögel;Entenverwandte;Rothalsgans;Branta ruficollis;;;
vogel_kanadagans;Vögel;Entenverwandte;Kanadagans;Branta canadensis;;;
vogel_weisswangengans;Vögel;Entenverwandte;Weißwangengans;Branta leucopsis;;;
vogel_streifengans;Vögel;Entenverwandte;Streifengans;Anser indicus;;;
vogel_graugans;Vögel;Entenverwandte;Graugans;Anser anser;;;
vogel_waldsaatgans;Vögel;Entenverwandte;Waldsaatgans;Anser fabalis;;;
vogel_kurzschnabelgans;Vögel;Entenverwandte;Kurzschnabelgans;Anser brachyrhynchus;;;
vogel_tundrasaatgans;Vögel;Entenverwandte;Tundrasaatgans;Anser serrirostris;;;
vogel_blaessgans;Vögel;Entenverwandte;Blässgans;Anser albifrons;;;
vogel_zwerggans;Vögel;Entenverwandte;Zwerggans;Anser erythropus;;;
vogel_hoeckerschwan;Vögel;Entenverwandte;Höckerschwan;Cygnus olor;;;
vogel_zwergschwan;Vögel;Entenverwandte;Zwergschwan;Cygnus columbianus;;;
vogel_singschwan;Vögel;Entenverwandte;Singschwan;Cygnus cygnus;;;
vogel_nilgans;Vögel;Entenverwandte;Nilgans;Alopochen aegyptiaca;;;
vogel_brandgans;Vögel;Entenverwandte;Brandgans;Tadorna tadorna;;;
vogel_rostgans;Vögel;Entenverwandte;Rostgans;Tadorna ferruginea;;;
vogel_mandarinente;Vögel;Entenverwandte;Mandarinente;Aix galericulata;;;
vogel_knaekente;Vögel;Entenverwandte;Knäkente;Spatula querquedula;;;
vogel_blaufluegelente;Vögel;Entenverwandte;Blauflügelente;Spatula discors;;;
vogel_loeffelente;Vögel;Entenverwandte;Löffelente;Spatula clypeata;;;
vogel_schnatterente;Vögel;Entenverwandte;Schnatterente;Mareca strepera;;;
vogel_pfeifente;Vögel;Entenverwandte;Pfeifente;Mareca penelope;;;
vogel_kanadapfeifente;Vögel;Entenverwandte;Kanadapfeifente;Mareca americana;;;
vogel_stockente;Vögel;Entenverwandte;Stockente;Anas platyrhynchos;;;
vogel_spiessente;Vögel;Entenverwandte;Spießente;Anas acuta;;;
vogel_krickente;Vögel;Entenverwandte;Krickente;Anas crecca;;;
vogel_carolinakrickente;Vögel;Entenverwandte;Carolinakrickente;Anas carolinensis;;;
vogel_marmelente;Vögel;Entenverwandte;Marmelente;Marmaronetta angustirostris;;;
vogel_kolbenente;Vögel;Entenverwandte;Kolbenente;Netta rufina;;;
vogel_tafelente;Vögel;Entenverwandte;Tafelente;Aythya ferina;;;
vogel_moorente;Vögel;Entenverwandte;Moorente;Aythya nyroca;;;
vogel_ringschnabelente;Vögel;Entenverwandte;Ringschnabelente;Aythya collaris;;;
vogel_reiherente;Vögel;Entenverwandte;Reiherente;Aythya fuligula;;;
vogel_bergente;Vögel;Entenverwandte;Bergente;Aythya marila;;;
vogel_kanadabergente;Vögel;Entenverwandte;Kanadabergente;Aythya affinis;;;
vogel_scheckente;Vögel;Entenverwandte;Scheckente;Polysticta stelleri;;;
vogel_prachteiderente;Vögel;Entenverwandte;Prachteiderente;Somateria spectabilis;;;
vogel_eiderente;Vögel;Entenverwandte;Eiderente;Somateria mollissima;;;
vogel_kragenente;Vögel;Entenverwandte;Kragenente;Histrionicus histrionicus;;;
vogel_brillenente;Vögel;Entenverwandte;Brillenente;Melanitta perspicillata;;;
vogel_samtente;Vögel;Entenverwandte;Samtente;Melanitta fusca;;;
vogel_kamtschatkasamtente;Vögel;Entenverwandte;Kamtschatkasamtente;Melanitta stejnegeri;;;
vogel_trauerente;Vögel;Entenverwandte;Traürente;Melanitta nigra;;;
vogel_pazifiktrauerente;Vögel;Entenverwandte;Pazifiktraürente;Melanitta americana;;;
vogel_eisente;Vögel;Entenverwandte;Eisente;Clangula hyemalis;;;
vogel_schellente;Vögel;Entenverwandte;Schellente;Bucephala clangula;;;
vogel_spatelente;Vögel;Entenverwandte;Spatelente;Bucephala islandica;;;
vogel_zwergsaeger;Vögel;Entenverwandte;Zwergsäger;Mergellus albellus;;;
vogel_gaensesaeger;Vögel;Entenverwandte;Gänsesäger;Mergus merganser;;;
vogel_mittelsaeger;Vögel;Entenverwandte;Mittelsäger;Mergus serrator;;;
vogel_schwarzkopf-ruderente;Vögel;Entenverwandte;Schwarzkopf-Ruderente;Oxyura jamaicensis;;;
vogel_weisskopf-ruderente;Vögel;Entenverwandte;Weißkopf-Ruderente;Oxyura leucocephala;;;
vogel_nachtschwalbe;Vögel;Nachtschwalben;Nachtschwalbe;Caprimulgus europaeus;;;
vogel_pharaonennachtschwalbe;Vögel;Nachtschwalben;Pharaonennachtschwalbe;Caprimulgus aegyptius;;;
vogel_alpensegler;Vögel;Segler;Alpensegler;Tachymarptis melba;;;
vogel_mauersegler;Vögel;Segler;Maürsegler;Apus apus;;;
vogel_fahlsegler;Vögel;Segler;Fahlsegler;Apus pallidus;;;
vogel_pazifiksegler;Vögel;Segler;Pazifiksegler;Apus pacificus;;;
vogel_haussegler;Vögel;Segler;Haussegler;Apus affinis;;;
vogel_grosstrappe;Vögel;Trappen;Großtrappe;Otis tarda;;;
vogel_steppenkragentrappe;Vögel;Trappen;Steppenkragentrappe;Chlamydotis macqueenii;;;
vogel_haeherkuckuck;Vögel;Kuckucke;Häherkuckuck;Clamator glandarius;;;
vogel_schwarzschnabelkuckuck;Vögel;Kuckucke;Schwarzschnabelkuckuck;Coccyzus erythropthalmus;;;
vogel_kuckuck;Vögel;Kuckucke;Kuckuck;Cuculus canorus;;;
vogel_steppenflughuhn;Vögel;Flughühner;Steppenflughuhn;Syrrhaptes paradoxus;;;
vogel_sandflughuhn;Vögel;Flughühner;Sandflughuhn;Pterocles orientalis;;;
vogel_strassentaube;Vögel;Tauben;Straßentaube;Columba livia f. domestica;;;
vogel_hohltaube;Vögel;Tauben;Hohltaube;Columba oenas;;;
vogel_ringeltaube;Vögel;Tauben;Ringeltaube;Columba palumbus;;;
vogel_turteltaube;Vögel;Tauben;Turteltaube;Streptopelia turtur;;;
vogel_orientturteltaube;Vögel;Tauben;Orientturteltaube;Streptopelia orientalis;;;
vogel_tuerkentaube;Vögel;Tauben;Türkentaube;Streptopelia decaocto;;;
vogel_carolinataube;Vögel;Tauben;Carolinataube;Zenaida macroura;;;
vogel_wasserralle;Vögel;Rallen;Wasserralle;Rallus aquaticus;;;
vogel_wachtelkoenig;Vögel;Rallen;Wachtelkönig;Crex crex;;;
vogel_tuepfelsumpfhuhn;Vögel;Rallen;Tüpfelsumpfhuhn;Porzana porzana;;;
vogel_kleinsumpfhuhn;Vögel;Rallen;Kleinsumpfhuhn;Zapornia parva;;;
vogel_zwergsumpfhuhn;Vögel;Rallen;Zwergsumpfhuhn;Zapornia pusilla;;;
vogel_purpurhuhn;Vögel;Rallen;Purpurhuhn;Porphyrio porphyrio;;;
vogel_graukopf-purpurhuhn;Vögel;Rallen;Graukopf-Purpurhuhn;Porphyrio poliocephalus;;;
vogel_bronzesultanshuhn;Vögel;Rallen;Bronzesultanshuhn;Porphyrio alleni;;;
vogel_teichhuhn;Vögel;Rallen;Teichhuhn;Gallinula chloropus;;;
vogel_blaesshuhn;Vögel;Rallen;Blässhuhn;Fulica atra;;;
vogel_kanadakranich;Vögel;Kraniche;Kanadakranich;Antigone canadensis;;;
vogel_jungfernkranich;Vögel;Kraniche;Jungfernkranich;Grus virgo;;;
vogel_kranich;Vögel;Kraniche;Kranich;Grus grus;;;
vogel_zwergtaucher;Vögel;Lappentaucher;Zwergtaucher;Tachybaptus ruficollis;;;
vogel_bindentaucher;Vögel;Lappentaucher;Bindentaucher;Podilymbus podiceps;;;
vogel_rothalstaucher;Vögel;Lappentaucher;Rothalstaucher;Podiceps grisegena;;;
vogel_haubentaucher;Vögel;Lappentaucher;Haubentaucher;Podiceps cristatus;;;
vogel_ohrentaucher;Vögel;Lappentaucher;Ohrentaucher;Podiceps auritus;;;
vogel_schwarzhalstaucher;Vögel;Lappentaucher;Schwarzhalstaucher;Podiceps nigricollis;;;
vogel_rosaflamingo;Vögel;Flamingos;Rosaflamingo;Phoenicopterus roseus;;;
vogel_triel;Vögel;Triele;Triel;Burhinus oedicnemus;;;
vogel_austernfischer;Vögel;Austernfischer;Austernfischer;Haematopus ostralegus;;;
